Time, Lidar NIS, Radar NIS 
0,3.27888e-30,21.9853
0,1.543e-29,32.2956
0,3.10127e-30,1.98196
33333,2.02758,2.60166
33333,3.09067,2.29543
33333,2.70412,1.75501
66666,2.12509,1.35323
66666,3.4228,3.39183
66666,1.6371,2.76212
100000,0.837295,1.35405
100000,0.464834,1.77052
100000,0.332092,2.13089
133333,1.51571,0.533435
133333,0.440347,0.875337
133333,0.327774,2.06062
166666,0.148332,3.2071
166666,3.10112,1.8505
166666,1.58997,3.51266
200000,0.590433,5.29424
200000,1.90924,1.31993
200000,2.26836,1.27463
233333,0.522462,0.0528719
233333,1.86183,1.0805
233333,0.861772,1.19626
266666,1.72288,7.48667
266666,0.628101,7.57104
266666,1.79849,6.14166
300000,0.819735,0.33573
300000,2.27045,0.855318
300000,0.865842,1.41049
333333,1.4923,3.78503
333333,0.380296,4.32545
333333,1.12303,4.22267
366666,6.19918,3.73801
366666,4.1135,2.22347
366666,4.909,2.88269
400000,3.39305,0.0732363
400000,1.8544,0.559693
400000,2.59467,1.11194
433333,0.196154,8.57166
433333,0.195076,6.1131
433333,0.0349368,2.14456
466666,0.53361,3.58827
466666,0.716693,4.37808
466666,1.04211,4.78576
500000,0.62378,1.84111
500000,0.285292,0.984173
500000,0.343381,2.48762
533333,2.32149,1.27717
533333,1.63711,0.846177
533333,3.38897,1.50229
566666,2.71898,0.795491
566666,2.21891,1.00658
566666,3.2368,1.59229
600000,0.196072,3.26826
600000,0.417374,2.21138
600000,0.38467,4.72199
633333,5.07628,3.77881
633333,8.32325,3.67808
633333,4.20484,3.35522
666666,3.0114,5.57233
666666,0.829171,5.67773
666666,2.908,5.93838
700000,1.31191,2.84893
700000,1.37891,2.52109
700000,1.31131,1.10806
733333,1.35879,1.55506
733333,2.5752,1.5882
733333,1.25265,3.88992
766666,0.430097,0.262342
766666,1.21927,0.109043
766666,0.508324,2.19314
800000,0.221461,1.28335
800000,2.29047,1.47507
800000,0.25429,2.26472
833333,0.0720853,2.06711
833333,0.761349,2.0117
833333,0.0558184,2.88474
866666,3.02262,1.35621
866666,1.28541,1.4481
866666,2.80931,2.97672
900000,1.55964,1.88707
900000,0.409679,2.9524
900000,1.69086,1.90956
933333,5.02397,3.41176
933333,7.89181,2.75149
933333,4.31785,6.82916
966666,3.01981,3.45407
966666,1.13335,3.14863
966666,3.18908,4.94534
1000000,2.79086,3.23124
1000000,2.50804,5.91363
1000000,2.68314,1.67781
1033333,0.466007,0.114075
1033333,1.31037,0.758505
1033333,0.404896,0.488096
1066666,1.28134,0.628855
1066666,1.70417,0.39756
1066666,0.866976,1.84192
1100000,0.266914,2.92168
1100000,0.031299,2.54866
1100000,0.514652,5.85443
1133333,1.45855,0.680297
1133333,2.56031,0.697939
1133333,1.19034,0.954157
1166666,2.07,1.08574
1166666,1.18563,0.905135
1166666,1.86739,4.22745
1200000,0.456318,4.7876
1200000,0.147396,4.57741
1200000,0.517693,7.48931
1233333,0.346574,6.16898
1233333,0.607662,7.87984
1233333,0.634045,4.39971
1266666,0.302853,8.36871
1266666,0.12775,8.22721
1266666,0.279903,6.36039
1300000,0.636586,8.05793
