Time, estimated x, estimated y, estimated v, estimated yaw 
0,-9.70063,3.92317,4.43005,0
0,24.9334,-4.06949,-5.40566,0
0,-11.8298,-0.0809007,0.829686,0
33333,-9.70589,3.99924,4.43807,-0.321372
33333,24.6861,-3.9306,-5.45912,-0.0225621
33333,-11.9164,0.0622687,0.866396,0.070731
66666,-9.63601,4.03236,4.46493,-0.258727
66666,24.4565,-3.88977,-5.60612,-0.0264021
66666,-11.9824,0.108244,0.851786,0.1534
100000,-9.45601,3.99411,4.62573,-0.342474
100000,24.2587,-3.83836,-5.78657,-0.314121
100000,-11.9369,0.0945285,0.970232,0.0341315
133333,-9.26512,3.99448,4.77967,-0.240566
133333,24.0458,-3.85556,-5.97775,-0.138945
133333,-11.8893,0.0985984,1.08122,0.0249287
166666,-9.10382,3.94393,4.72949,-0.261026
166666,23.7916,-3.95595,-6.02652,0.0563417
166666,-11.8579,0.0505859,1.1061,-0.172613
200000,-8.95157,3.90107,4.59556,-0.263885
200000,23.5739,-4.09037,-6.06437,0.232192
200000,-11.8323,-0.0380138,1.09929,-0.769746
233333,-8.81338,3.87914,4.58332,-0.237775
233333,23.3569,-4.09765,-6.07421,0.182729
233333,-11.8242,-0.0488772,1.08377,-0.624479
266666,-8.64375,3.86429,4.68156,-0.21686
266666,23.1727,-4.14883,-6.13351,0.138975
266666,-11.7907,-0.0837109,1.1421,-0.486044
300000,-8.48725,3.86355,4.70173,-0.171392
300000,22.9533,-4.13465,-6.11532,0.0880049
300000,-11.7669,-0.0885169,1.12383,-0.444074
333333,-8.31154,3.83614,4.68082,-0.134912
333333,22.7513,-4.16615,-6.09472,0.107928
333333,-11.7174,-0.140627,1.15867,-0.577983
366666,-8.09896,3.87516,4.83568,-0.0954969
366666,22.5666,-4.10653,-6.06229,-0.0048912
366666,-11.6502,-0.110549,1.17907,-0.369666
400000,-7.9054,3.91568,4.9122,-0.0185864
400000,22.3893,-4.03765,-5.9605,-0.0993316
400000,-11.6037,-0.0866511,1.10621,-0.237887
433333,-7.71913,3.93633,5.00495,-0.0192583
433333,22.1822,-4.06807,-6.06482,-0.0725433
433333,-11.5632,-0.101324,1.17807,-0.236919
466666,-7.54597,3.9847,5.00935,0.0762896
466666,21.9848,-4.03649,-5.94856,-0.104978
466666,-11.543,-0.0717981,1.00227,-0.111216
500000,-7.3701,3.971,5.02303,0.0415617
500000,21.7844,-4.03252,-5.97678,-0.108539
500000,-11.4952,-0.0816036,1.06178,-0.110388
533333,-7.18359,3.99615,5.08422,0.0578156
533333,21.606,-3.93339,-5.93545,-0.21636
533333,-11.4455,-0.0411317,1.06634,0.053679
566666,-7.02438,4.02141,5.07553,0.0822143
566666,21.4061,-3.86081,-5.90668,-0.279648
566666,-11.4219,0.00419116,1.02062,0.220921
600000,-6.85586,4.02017,5.09542,0.0514462
600000,21.2131,-3.84996,-5.94939,-0.260933
600000,-11.3812,0.00091923,1.11888,0.162935
633333,-6.69785,3.95309,5.02794,-0.0212672
633333,21.0068,-3.92069,-5.9757,-0.169145
633333,-11.3252,-0.0457914,1.23825,0.0201126
666666,-6.51962,3.9901,5.08004,0.0161207
666666,20.8399,-3.85919,-5.91108,-0.217068
666666,-11.2844,-0.00445237,1.25272,0.168966
700000,-6.34738,3.98924,5.06478,0.0224465
700000,20.6558,-3.84571,-5.85089,-0.211196
700000,-11.2335,0.00833855,1.27423,0.209966
733333,-6.16248,3.97771,5.11236,0.00420578
733333,20.45,-3.87415,-5.89238,-0.167154
733333,-11.1695,-0.00603351,1.3808,0.132424
766666,-5.99775,3.97625,5.11346,-0.00240112
766666,20.2409,-3.87542,-5.92266,-0.150067
766666,-11.1241,0.00828766,1.44101,0.157421
800000,-5.84296,3.9459,5.06365,-0.0303192
800000,20.0289,-3.90187,-5.94879,-0.114396
800000,-11.0737,-0.000189432,1.49708,0.113683
833333,-5.67521,3.95877,5.06486,-0.0161514
833333,19.8306,-3.92419,-5.9185,-0.0863743
833333,-11.0309,0.0112897,1.51104,0.139765
866666,-5.46853,3.98396,5.19421,0.00260524
866666,19.6381,-3.90778,-5.93855,-0.0933337
866666,-10.9569,0.0346619,1.62468,0.176448
900000,-5.28851,4.03033,5.21794,0.0440179
900000,19.45,-3.88715,-5.85719,-0.100187
900000,-10.9135,0.103893,1.62757,0.368201
933333,-5.15355,3.97332,5.13379,-0.0150644
933333,19.2177,-3.94169,-5.99176,-0.0540764
933333,-10.8656,0.0560841,1.69089,0.181701
966666,-4.96564,4.00465,5.23838,0.00032496
966666,19.0239,-3.89397,-6.0182,-0.0839174
966666,-10.8048,0.120083,1.81462,0.292286
1000000,-4.79273,4.04899,5.23019,0.0363741
1000000,18.8238,-3.89198,-5.92566,-0.0764629
1000000,-10.765,0.203136,1.8185,0.477013
1033333,-4.62332,4.04819,5.20897,0.0337226
1033333,18.6198,-3.92766,-5.90512,-0.0457893
1033333,-10.7087,0.203807,1.82523,0.425519
1066666,-4.45311,4.03292,5.19212,0.0200755
1066666,18.4092,-3.97036,-5.9277,-0.0139186
1066666,-10.6428,0.194649,1.85851,0.353155
1100000,-4.27837,4.02395,5.22791,0.00528139
1100000,18.2128,-3.96168,-5.97524,-0.0200778
1100000,-10.5681,0.20492,1.9744,0.31072
1133333,-4.11539,4.02309,5.18826,0.00445166
1133333,17.9983,-3.98475,-5.97558,-0.00206274
1133333,-10.5093,0.23174,2.00675,0.328984
1166666,-3.93068,4.00498,5.23456,-0.0116427
1166666,17.7987,-3.9981,-6.02316,0.0043537
1166666,-10.4196,0.230012,2.12558,0.269086
1200000,-3.74689,3.98482,5.26158,-0.0257153
1200000,17.5897,-3.99377,-6.06592,0.0012062
1200000,-10.3242,0.24301,2.24709,0.243562
1233333,-3.60347,3.97483,5.12581,-0.0253802
1233333,17.395,-3.98695,-5.9729,0.000146923
1233333,-10.2611,0.251493,2.20215,0.237464
1266666,-3.4229,4.00079,5.1381,-0.00394583
1266666,17.2115,-4.01075,-5.8947,0.0149755
1266666,-10.1967,0.291722,2.21574,0.282284
1300000,-3.21241,4.02091,5.23473,0.0139272
1300000,17.0091,-4.03118,-5.88055,0.0272544
1300000,-10.1061,0.348928,2.31015,0.338908
1333333,-3.00806,4.0347,5.35878,0.0144356
1333333,16.822,-4.00992,-5.92525,0.0116128
1333333,-10.0068,0.400328,2.49244,0.355567
1366666,-2.81996,4.03115,5.376,0.012976
