Time, lidar measured x, lidar measured y 
0,-9.66491,3.91754
0,24.9684,-4.08246
0,-11.7982,-0.0824619
33333,-9.72867,4.20942
33333,24.538,-3.79058
33333,-11.9953,0.209419
66666,-9.68959,4.1943
66666,24.2104,-3.8057
66666,-12.0896,0.194301
100000,-9.34828,4.05829
100000,24.185,-3.94171
100000,-11.8816,0.0582877
133333,-9.15578,4.10808
133333,24.0109,-3.89192
133333,-11.8224,0.108078
166666,-9.13492,3.88936
166666,23.6651,-4.11064
166666,-11.9349,-0.110642
200000,-8.90566,3.78188
200000,23.5277,-4.21812
200000,-11.839,-0.218123
233333,-8.89266,3.9413
233333,23.174,-4.0587
233333,-11.9593,-0.0587006
266666,-8.48579,3.74141
266666,23.2142,-4.25859
266666,-11.6858,-0.258594
300000,-8.55644,3.96992
300000,22.7769,-4.03008
300000,-11.8898,-0.0300773
333333,-8.15734,3.76369
333333,22.8093,-4.23631
333333,-11.624,-0.236307
366666,-7.81893,4.07119
366666,22.7811,-3.92881
366666,-11.4189,0.0711945
400000,-7.7101,4.06985
400000,22.5232,-3.93015
400000,-11.4434,0.0698541
433333,-7.67374,3.90451
433333,22.1929,-4.09549
433333,-11.5404,-0.09549
466666,-7.63359,4.01613
466666,21.8664,-3.98387
466666,-11.6336,0.0161277
500000,-7.28689,3.91776
500000,21.8464,-4.08224
500000,-11.4202,-0.0822392
533333,-7.0384,4.16943
533333,21.7277,-3.83057
533333,-11.3034,0.170019
566666,-7.20482,4.18104
566666,21.1935,-3.81896
566666,-11.5998,0.182932
600000,-6.7994,4.08075
600000,21.2306,-3.91925
600000,-11.3228,0.0847748
633333,-6.54476,3.70121
633333,21.1164,-4.29879
633333,-11.195,-0.291672
666666,-6.34179,4.1629
666666,20.9499,-3.8371
666666,-11.1172,0.174213
700000,-6.17104,4.01694
700000,20.7506,-3.98306
700000,-11.0701,0.0336855
733333,-6.01006,3.92884
733333,20.541,-4.07116
733333,-11.0313,-0.0475982
766666,-6.06827,4.04663
766666,20.1117,-3.95337
766666,-11.2101,0.0785637
800000,-5.87243,3.91311
800000,19.9359,-4.08689
800000,-11.1336,-0.0448843
833333,-5.66931,3.9841
833333,19.7668,-4.0159
833333,-11.0485,0.0380469
866666,-5.25382,4.07693
866666,19.8095,-3.92307
866666,-10.7497,0.144861
900000,-5.32211,4.18216
900000,19.3679,-3.81784
900000,-10.9335,0.26629
933333,-5.39404,3.80478
933333,18.9221,-4.19522
933333,-11.12,-0.0925084
966666,-4.951,4.24833
966666,18.9907,-3.75167
966666,-10.7905,0.372193
1000000,-4.98015,4.18143
1000000,18.5865,-3.81857
1000000,-10.9324,0.329201
1033333,-4.65483,3.95164
1033333,18.5363,-4.04836
1033333,-10.7178,0.124308
