Time, radar measured  rho, radar measured phi, radar measured rho_dot 
0,10.609,2.76078,-4.53582
0,25.1137,-0.154389,-5.82779
0,11.9599,-3.13607,-0.904339
33333,10.6553,2.78288,-4.34264
33333,25.1168,-0.127559,-5.64478
33333,12.127,-3.10796,-0.722559
66666,10.7712,2.74939,-4.17317
66666,25.1892,-0.156172,-5.48596
66666,12.3635,-3.13528,-0.564996
100000,10.1504,2.7397,-4.6726
100000,24.5244,-0.160806,-5.99656
100000,11.8627,-3.13859,-1.07688
133333,9.96248,2.73749,-4.69213
133333,24.2921,-0.157798,-6.02779
133333,11.7944,-3.13424,-1.10943
166666,9.45642,2.71231,-4.44335
166666,23.7414,-0.17757,-5.79131
166666,11.4076,3.13053,-0.874296
200000,9.69796,2.68302,-4.04275
200000,23.9377,-0.201264,-5.40361
200000,11.7678,3.10822,-0.487982
233333,9.59903,2.72999,-4.38784
233333,23.7932,-0.1485,-5.76226
233333,11.7872,-3.12079,-0.848045
266666,10.0345,2.6715,-4.78127
266666,24.1826,-0.200989,-6.16994
266666,12.3403,3.11134,-1.25718
300000,9.15455,2.71437,-4.49259
300000,23.2562,-0.151889,-5.89624
300000,11.5776,-3.12129,-0.984971
333333,8.65032,2.71818,-4.18106
333333,22.7049,-0.141636,-5.60049
333333,11.19,-3.10956,-0.690749
366666,8.74579,2.66309,-4.82948
366666,22.7528,-0.190033,-6.26552
366666,11.4015,3.12674,-1.35735
400000,8.80121,2.68884,-4.37736
400000,22.76,-0.157337,-5.8309
400000,11.5724,-3.12222,-0.924332
433333,8.79541,2.59178,-4.76887
433333,22.7055,-0.247188,-6.24086
433333,11.6813,3.07267,-1.33594
466666,8.30619,2.62815,-3.88171
466666,22.1669,-0.203341,-5.37316
466666,11.3062,3.11811,-0.469941
500000,8.06295,2.64003,-4.48898
500000,21.8736,-0.18368,-5.98634
500000,11.1763,3.13938,-1.15138
533333,8.03136,2.65696,-4.37387
533333,21.7917,-0.158643,-5.87854
533333,11.2556,-3.11718,-1.11151
566666,7.86617,2.63408,-4.11248
566666,21.576,-0.173047,-5.62597
566666,11.1987,-3.13002,-0.926395
600000,8.27062,2.62249,-4.59328
600000,21.9296,-0.175783,-6.11719
600000,11.7089,-3.13124,-1.48445
633333,7.81839,2.65483,-4.64215
633333,21.4261,-0.134199,-6.17822
